Ticket_ID,Priority_Level,inferred_severity,mismatch,mismatch_type,severity_delta,Resolution_Time_Hours,Satisfaction_Score,Issue_Category
TKT-100167,Low,Low,0,Consistent,0,8,3,Billing
TKT-100168,Medium,Low,1,False Alarm,-1,2,2,Billing
TKT-100169,Medium,Medium,0,Consistent,0,59,5,Technical
TKT-100170,Low,Low,0,Consistent,0,90,4,Billing
TKT-100171,Medium,Low,1,False Alarm,-1,87,5,Billing
TKT-100172,Medium,Low,1,False Alarm,-1,9,4,Technical
TKT-100173,Low,Low,0,Consistent,0,41,2,Billing
TKT-100174,Low,Medium,1,Hidden Crisis,1,39,2,Account
TKT-100175,Medium,Low,1,False Alarm,-1,8,4,Technical
TKT-100176,Medium,Low,1,False Alarm,-1,9,4,Technical
TKT-100177,Medium,Low,1,False Alarm,-1,51,4,Technical
TKT-100178,Critical,Low,1,False Alarm,-3,11,1,Fraud
TKT-100179,Medium,Low,1,False Alarm,-1,40,5,General Inquiry
TKT-100180,High,Low,1,False Alarm,-2,7,3,Technical
TKT-100181,Low,Low,0,Consistent,0,32,4,General Inquiry
TKT-100182,Medium,Medium,0,Consistent,0,81,5,Technical
TKT-100183,Medium,Medium,0,Consistent,0,21,5,Billing
TKT-100184,Low,Low,0,Consistent,0,105,5,Billing
TKT-100185,Medium,Low,1,False Alarm,-1,19,4,Technical
TKT-100186,Low,Low,0,Consistent,0,65,5,General Inquiry
TKT-100187,Low,Low,0,Consistent,0,17,5,General Inquiry
TKT-100188,Critical,Low,1,False Alarm,-3,1,4,Technical
TKT-100189,Low,Medium,1,Hidden Crisis,1,31,4,Technical
TKT-100190,High,Medium,1,False Alarm,-1,51,3,Technical
TKT-100191,High,Medium,1,False Alarm,-1,14,4,Technical
TKT-100192,High,Low,1,False Alarm,-2,3,4,Technical
TKT-100193,Medium,Medium,0,Consistent,0,29,2,Technical
TKT-100194,Low,Medium,1,Hidden Crisis,1,36,4,Technical
TKT-100195,High,Low,1,False Alarm,-2,7,5,Technical
TKT-100196,Medium,Low,1,False Alarm,-1,28,5,General Inquiry
TKT-100197,Low,Low,0,Consistent,0,16,5,Billing
TKT-100198,Critical,Medium,1,False Alarm,-2,34,5,Technical
TKT-100199,Medium,Low,1,False Alarm,-1,6,2,Account
TKT-100200,Low,Low,0,Consistent,0,31,5,Billing
TKT-100201,High,Low,1,False Alarm,-2,3,4,Billing
TKT-100202,Low,Low,0,Consistent,0,4,5,Account
TKT-100203,High,Low,1,False Alarm,-2,16,4,Technical
TKT-100204,Medium,Low,1,False Alarm,-1,20,4,General Inquiry
TKT-100205,High,Low,1,False Alarm,-2,14,5,Technical
TKT-100206,Medium,Low,1,False Alarm,-1,18,4,Technical
TKT-100207,Medium,Medium,0,Consistent,0,45,5,Technical
TKT-100208,Low,Low,0,Consistent,0,53,5,Technical
TKT-100209,Medium,Low,1,False Alarm,-1,66,4,General Inquiry
TKT-100210,Low,Low,0,Consistent,0,31,4,General Inquiry
TKT-100211,Critical,Low,1,False Alarm,-3,22,5,Technical
TKT-100212,Medium,Low,1,False Alarm,-1,8,3,Technical
TKT-100213,Medium,Medium,0,Consistent,0,71,4,Account
TKT-100214,Low,Low,0,Consistent,0,18,5,General Inquiry
TKT-100215,Low,Low,0,Consistent,0,22,3,General Inquiry
TKT-100216,High,Medium,1,False Alarm,-1,53,4,Technical
TKT-100217,Critical,Medium,1,False Alarm,-2,41,4,Technical
TKT-100218,Low,Low,0,Consistent,0,46,4,General Inquiry
TKT-100219,High,Low,1,False Alarm,-2,9,5,Account
TKT-100220,Medium,Low,1,False Alarm,-1,38,3,Billing
TKT-100221,High,Low,1,False Alarm,-2,3,2,Technical
TKT-100222,High,Medium,1,False Alarm,-1,36,4,Technical
TKT-100223,Critical,Low,1,False Alarm,-3,4,4,Technical
TKT-100224,Medium,Low,1,False Alarm,-1,53,3,Billing
TKT-100225,High,Low,1,False Alarm,-2,21,5,Technical
TKT-100226,Medium,Low,1,False Alarm,-1,2,3,General Inquiry
TKT-100227,Low,Low,0,Consistent,0,66,3,Billing
TKT-100228,Medium,Medium,0,Consistent,0,28,5,Technical
TKT-100229,Medium,Low,1,False Alarm,-1,71,5,General Inquiry
TKT-100230,Medium,Low,1,False Alarm,-1,50,5,General Inquiry
TKT-100231,Low,Low,0,Consistent,0,14,4,Technical
TKT-100232,Medium,Medium,0,Consistent,0,120,2,Billing
TKT-100233,Medium,Medium,0,Consistent,0,29,5,Billing
TKT-100234,Medium,Low,1,False Alarm,-1,14,4,Billing
TKT-100235,Low,Low,0,Consistent,0,23,5,Technical
TKT-100236,Medium,Low,1,False Alarm,-1,94,4,Billing
TKT-100237,Medium,Medium,0,Consistent,0,4,2,Billing
TKT-100238,Medium,Medium,0,Consistent,0,8,1,Billing
TKT-100239,Low,Low,0,Consistent,0,13,5,Account
TKT-100240,Medium,Medium,0,Consistent,0,39,5,Technical
TKT-100241,Low,Low,0,Consistent,0,4,5,General Inquiry
TKT-100242,Low,Low,0,Consistent,0,25,3,General Inquiry
TKT-100243,Medium,Medium,0,Consistent,0,44,5,Technical
TKT-100244,Low,Medium,1,Hidden Crisis,1,17,1,Technical
TKT-100245,Medium,Low,1,False Alarm,-1,45,3,Technical
TKT-100246,Medium,Low,1,False Alarm,-1,81,4,General Inquiry
TKT-100247,Critical,Low,1,False Alarm,-3,5,4,Fraud
TKT-100248,Low,Low,0,Consistent,0,6,4,General Inquiry
TKT-100249,Medium,Low,1,False Alarm,-1,62,5,Billing
TKT-100250,Low,Low,0,Consistent,0,92,4,Account
TKT-100251,Medium,Low,1,False Alarm,-1,1,1,Account
TKT-100252,Critical,Low,1,False Alarm,-3,22,4,Technical
TKT-100253,Medium,Low,1,False Alarm,-1,120,5,Account
TKT-100254,Medium,Low,1,False Alarm,-1,26,5,Account
TKT-100255,Medium,Low,1,False Alarm,-1,6,4,Technical
TKT-100256,Low,Low,0,Consistent,0,33,3,Billing
TKT-100257,Low,Low,0,Consistent,0,21,5,Account
TKT-100258,Medium,Low,1,False Alarm,-1,86,4,General Inquiry
TKT-100259,High,Low,1,False Alarm,-2,15,4,Technical
TKT-100260,High,Low,1,False Alarm,-2,24,5,Account
TKT-100261,Medium,Low,1,False Alarm,-1,26,5,Billing
TKT-100262,Low,Low,0,Consistent,0,5,4,Technical
TKT-100263,Low,Medium,1,Hidden Crisis,1,52,4,Account
TKT-100264,Low,Low,0,Consistent,0,27,4,Account
TKT-100265,High,Low,1,False Alarm,-2,11,4,Technical
TKT-100266,Low,Low,0,Consistent,0,10,4,General Inquiry
TKT-100267,Low,Low,0,Consistent,0,58,5,Billing
TKT-100268,Medium,Low,1,False Alarm,-1,44,5,General Inquiry
TKT-100269,High,Low,1,False Alarm,-2,6,4,Fraud
TKT-100270,Medium,Low,1,False Alarm,-1,76,5,Technical
TKT-100271,Low,Low,0,Consistent,0,69,5,Account
TKT-100272,High,Low,1,False Alarm,-2,19,4,Technical
TKT-100273,Low,Low,0,Consistent,0,52,5,General Inquiry
TKT-100274,Medium,Low,1,False Alarm,-1,85,5,General Inquiry
TKT-100275,Medium,Low,1,False Alarm,-1,120,5,Billing
TKT-100276,Low,Low,0,Consistent,0,14,5,General Inquiry
TKT-100277,Medium,Low,1,False Alarm,-1,105,4,Account
TKT-100278,Medium,Low,1,False Alarm,-1,24,5,Account
TKT-100279,Low,Low,0,Consistent,0,24,4,Account
TKT-100280,Critical,Low,1,False Alarm,-3,6,3,Technical
TKT-100281,Low,Low,0,Consistent,0,9,5,Account
TKT-100282,High,Low,1,False Alarm,-2,3,4,Account
TKT-100283,Medium,Low,1,False Alarm,-1,7,4,Technical
TKT-100284,Medium,Medium,0,Consistent,0,10,1,Technical
TKT-100285,Medium,Low,1,False Alarm,-1,9,5,Technical
TKT-100286,Medium,Low,1,False Alarm,-1,9,4,Technical
TKT-100287,Low,Low,0,Consistent,0,120,5,General Inquiry
TKT-100288,Low,Medium,1,Hidden Crisis,1,94,2,Billing
TKT-100289,Medium,Low,1,False Alarm,-1,31,4,Account
TKT-100290,Low,Low,0,Consistent,0,17,4,General Inquiry
TKT-100291,Low,Low,0,Consistent,0,40,5,Billing
TKT-100292,Low,Medium,1,Hidden Crisis,1,41,5,Account
TKT-100293,Medium,Low,1,False Alarm,-1,15,4,Technical
TKT-100294,Low,Medium,1,Hidden Crisis,1,22,1,Billing
TKT-100295,Critical,Low,1,False Alarm,-3,30,3,Fraud
TKT-100296,Critical,Low,1,False Alarm,-3,22,3,Technical
TKT-100297,Low,Low,0,Consistent,0,8,4,General Inquiry
TKT-100298,Critical,Medium,1,False Alarm,-2,2,1,Technical
TKT-100299,Low,Low,0,Consistent,0,60,3,General Inquiry
TKT-100300,High,Low,1,False Alarm,-2,3,5,Billing
TKT-100301,Critical,Low,1,False Alarm,-3,12,4,Technical
TKT-100302,Medium,Medium,0,Consistent,0,47,1,Billing
TKT-100303,Low,Low,0,Consistent,0,3,5,General Inquiry
TKT-100304,Low,Low,0,Consistent,0,68,5,Account
TKT-100305,High,Low,1,False Alarm,-2,6,5,General Inquiry
TKT-100306,Low,Low,0,Consistent,0,11,2,Billing
TKT-100307,Low,Low,0,Consistent,0,19,4,Account
TKT-100308,Medium,Medium,0,Consistent,0,115,4,Technical
TKT-100309,Low,Medium,1,Hidden Crisis,1,75,4,Technical
TKT-100310,Medium,Low,1,False Alarm,-1,20,2,General Inquiry
TKT-100311,Critical,Medium,1,False Alarm,-2,13,1,Fraud
TKT-100312,Medium,Low,1,False Alarm,-1,113,5,General Inquiry
TKT-100313,High,Medium,1,False Alarm,-1,23,2,Billing
TKT-100314,Critical,Low,1,False Alarm,-3,3,5,Fraud
TKT-100315,Low,Low,0,Consistent,0,12,3,Billing
TKT-100316,Low,Low,0,Consistent,0,10,5,Account
TKT-100317,Medium,Low,1,False Alarm,-1,93,4,General Inquiry
TKT-100318,Low,Medium,1,Hidden Crisis,1,120,2,Account
TKT-100319,Medium,Low,1,False Alarm,-1,51,4,Billing
TKT-100320,Medium,Low,1,False Alarm,-1,13,4,Account
TKT-100321,Low,Medium,1,Hidden Crisis,1,34,4,Account
TKT-100322,High,Low,1,False Alarm,-2,6,2,Fraud
TKT-100323,Low,Low,0,Consistent,0,2,5,Account
TKT-100324,High,Low,1,False Alarm,-2,4,5,Billing
TKT-100325,Medium,Low,1,False Alarm,-1,19,1,Billing
TKT-100326,Medium,Low,1,False Alarm,-1,23,4,Account
TKT-100327,Low,Low,0,Consistent,0,102,5,Technical
TKT-100328,High,Low,1,False Alarm,-2,24,2,Fraud
TKT-100329,Low,Medium,1,Hidden Crisis,1,85,1,Billing
TKT-100330,Low,Medium,1,Hidden Crisis,1,55,5,Billing
TKT-100331,Low,Low,0,Consistent,0,118,3,Billing
TKT-100332,Low,Low,0,Consistent,0,17,4,General Inquiry
TKT-100333,Medium,Low,1,False Alarm,-1,10,5,General Inquiry
TKT-100334,Medium,Low,1,False Alarm,-1,45,4,General Inquiry
TKT-100335,High,Medium,1,False Alarm,-1,45,5,Technical
TKT-100336,Medium,Medium,0,Consistent,0,54,5,Account
TKT-100337,Low,Medium,1,Hidden Crisis,1,41,5,Technical
TKT-100338,Low,Low,0,Consistent,0,1,5,Technical
TKT-100339,Medium,Low,1,False Alarm,-1,5,2,Technical
TKT-100340,Low,Low,0,Consistent,0,59,4,General Inquiry
TKT-100341,High,Low,1,False Alarm,-2,20,4,Technical
TKT-100342,Low,Low,0,Consistent,0,2,2,Account
TKT-100343,Critical,Low,1,False Alarm,-3,6,4,Technical
TKT-100344,High,Medium,1,False Alarm,-1,30,4,Technical
TKT-100345,Low,Medium,1,Hidden Crisis,1,17,1,Technical
TKT-100346,High,Low,1,False Alarm,-2,4,5,Account
TKT-100347,Critical,Low,1,False Alarm,-3,3,1,Fraud
TKT-100348,Medium,Medium,0,Consistent,0,54,5,Technical
TKT-100349,Low,Low,0,Consistent,0,37,3,Billing
TKT-100350,Medium,Low,1,False Alarm,-1,26,5,General Inquiry
TKT-100351,High,Low,1,False Alarm,-2,1,5,Technical
TKT-100352,Low,Low,0,Consistent,0,57,4,General Inquiry
TKT-100353,Low,Medium,1,Hidden Crisis,1,46,4,Technical
TKT-100354,High,Low,1,False Alarm,-2,20,4,Fraud
TKT-100355,Medium,Medium,0,Consistent,0,82,1,General Inquiry
TKT-100356,High,Medium,1,False Alarm,-1,8,3,Billing
TKT-100357,Medium,Low,1,False Alarm,-1,14,4,General Inquiry
TKT-100358,Medium,Low,1,False Alarm,-1,11,5,General Inquiry
TKT-100359,Low,Low,0,Consistent,0,87,4,Account
TKT-100360,Low,Low,0,Consistent,0,1,4,Billing
TKT-100361,Low,Low,0,Consistent,0,12,3,Billing
TKT-100362,High,Low,1,False Alarm,-2,13,4,Technical
TKT-100363,Low,Low,0,Consistent,0,57,4,Technical
TKT-100364,High,Low,1,False Alarm,-2,40,4,Account
TKT-100365,Low,Medium,1,Hidden Crisis,1,30,2,Billing
TKT-100366,Medium,Low,1,False Alarm,-1,49,3,General Inquiry
TKT-100367,High,Low,1,False Alarm,-2,13,4,Technical
TKT-100368,Medium,Low,1,False Alarm,-1,44,4,Account
TKT-100369,Low,Low,0,Consistent,0,25,5,Account
TKT-100370,Medium,Medium,0,Consistent,0,42,4,Technical
TKT-100371,Medium,Low,1,False Alarm,-1,4,4,Billing
TKT-100372,Medium,Low,1,False Alarm,-1,15,4,Technical
TKT-100373,Low,Low,0,Consistent,0,70,5,Billing
TKT-100374,Critical,Low,1,False Alarm,-3,16,2,Fraud
TKT-100375,Low,Low,0,Consistent,0,19,5,General Inquiry
TKT-100376,High,Low,1,False Alarm,-2,8,4,Fraud
TKT-100377,Medium,Low,1,False Alarm,-1,120,4,Billing
TKT-100378,Low,Low,0,Consistent,0,7,4,General Inquiry
TKT-100379,Medium,Medium,0,Consistent,0,51,1,Technical
TKT-100380,High,Low,1,False Alarm,-2,43,5,General Inquiry
TKT-100381,Medium,Medium,0,Consistent,0,88,4,Technical
TKT-100382,Low,Medium,1,Hidden Crisis,1,89,2,Billing
TKT-100383,Medium,Medium,0,Consistent,0,54,3,Technical
TKT-100384,High,Medium,1,False Alarm,-1,45,2,Technical
TKT-100385,High,Low,1,False Alarm,-2,22,4,Technical
TKT-100386,Medium,Low,1,False Alarm,-1,21,4,Billing
TKT-100387,Medium,Low,1,False Alarm,-1,120,5,General Inquiry
TKT-100388,Medium,Medium,0,Consistent,0,48,5,Technical
TKT-100389,High,Low,1,False Alarm,-2,20,3,Billing
TKT-100390,Medium,Low,1,False Alarm,-1,44,4,Account
TKT-100391,Medium,Low,1,False Alarm,-1,3,4,General Inquiry
TKT-100392,High,Low,1,False Alarm,-2,18,4,Technical
TKT-100393,Low,Low,0,Consistent,0,11,5,Technical
TKT-100394,Low,Low,0,Consistent,0,11,5,General Inquiry
TKT-100395,Critical,Low,1,False Alarm,-3,9,3,Fraud
TKT-100396,High,Low,1,False Alarm,-2,7,4,Technical
TKT-100397,Critical,Low,1,False Alarm,-3,2,1,Fraud
TKT-100398,High,Low,1,False Alarm,-2,38,4,Account
TKT-100399,Medium,Low,1,False Alarm,-1,6,2,Billing
TKT-100400,Medium,Low,1,False Alarm,-1,18,4,Technical
TKT-100401,Medium,Low,1,False Alarm,-1,94,5,Billing
TKT-100402,Low,Low,0,Consistent,0,75,4,Account
TKT-100403,Low,Medium,1,Hidden Crisis,1,24,3,Billing
TKT-100404,High,Low,1,False Alarm,-2,16,2,Fraud
TKT-100405,Low,Medium,1,Hidden Crisis,1,120,2,Billing
TKT-100406,Low,Medium,1,Hidden Crisis,1,120,1,Billing
TKT-100407,Low,Low,0,Consistent,0,21,3,Billing
TKT-100408,Low,Medium,1,Hidden Crisis,1,40,2,Technical
TKT-100409,High,Low,1,False Alarm,-2,22,5,Technical
TKT-100410,Low,Low,0,Consistent,0,32,4,General Inquiry
TKT-100411,Low,Low,0,Consistent,0,32,1,Account
TKT-100412,Low,Medium,1,Hidden Crisis,1,120,3,Billing
TKT-100413,Medium,Medium,0,Consistent,0,120,1,Billing
TKT-100414,Low,Low,0,Consistent,0,11,5,Billing
TKT-100415,Low,Low,0,Consistent,0,49,4,Billing
TKT-100416,Medium,Low,1,False Alarm,-1,10,3,General Inquiry
TKT-100417,Medium,Low,1,False Alarm,-1,120,5,Technical
TKT-100418,Low,Low,0,Consistent,0,120,3,General Inquiry
TKT-100419,Low,Low,0,Consistent,0,50,3,Billing
TKT-100420,High,Medium,1,False Alarm,-1,30,5,Technical
TKT-100421,Medium,Low,1,False Alarm,-1,37,4,Billing
TKT-100422,Low,Low,0,Consistent,0,27,2,Account
TKT-100423,Low,Low,0,Consistent,0,4,1,Billing
TKT-100424,Low,Low,0,Consistent,0,120,4,General Inquiry
TKT-100425,Low,Low,0,Consistent,0,78,4,Technical
